,index,ReceiptId,bonusPointsEarned,bonusPointsEarnedReason,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,pointsEarned,purchaseDate,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId
10,8,5ff1e1ed0a7214ada100056e,5.0,All-receipts receipt bonus,2021-01-03 15:25:33,2021-01-03 15:25:33,2021-01-03 15:25:34,2021-01-03 15:25:38,2021-01-03 15:25:34,5.0,2021-01-03 00:00:00,5.0,FINISHED,20.0,5ff1e1eacfcf6c399c274ae6
11,9,5ff1e1eb0a7214ada100056b,250.0,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:25:31,2021-01-03 15:25:31,2021-01-03 15:25:31,2021-01-03 15:25:36,2021-01-03 15:25:31,250.0,2021-01-03 00:00:00,3.0,FINISHED,20.0,5ff1e1eacfcf6c399c274ae6
12,10,5ff1e1c50a720f052300056c,100.0,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:53,2021-01-03 15:24:53,2021-01-03 15:24:53,2021-01-03 15:24:53,2021-01-03 15:24:53,100.0,2021-01-02 15:24:53,1.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052
13,11,5ff1e1a10a720f0523000568,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:17,2021-01-03 15:24:17,2021-01-03 15:39:20,2021-01-03 15:39:20,2021-01-03 15:24:19,750.0,2021-01-02 00:00:00,5.0,FINISHED,50.0,5ff1e194b6a9d73a3a9f1052
14,12,5ff1e1b60a7214ada100055c,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:38,2021-01-03 15:24:38,,2021-01-03 15:24:38,,8850.0,2021-02-03 15:24:38,10.0,FLAGGED,290.0,5ff1e194b6a9d73a3a9f1052
15,12,5ff1e1b60a7214ada100055c,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:38,2021-01-03 15:24:38,,2021-01-03 15:24:38,,8850.0,2021-02-03 15:24:38,10.0,FLAGGED,290.0,5ff1e194b6a9d73a3a9f1052
16,12,5ff1e1b60a7214ada100055c,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:38,2021-01-03 15:24:38,,2021-01-03 15:24:38,,8850.0,2021-02-03 15:24:38,10.0,FLAGGED,290.0,5ff1e194b6a9d73a3a9f1052
17,12,5ff1e1b60a7214ada100055c,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:38,2021-01-03 15:24:38,,2021-01-03 15:24:38,,8850.0,2021-02-03 15:24:38,10.0,FLAGGED,290.0,5ff1e194b6a9d73a3a9f1052
18,12,5ff1e1b60a7214ada100055c,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:38,2021-01-03 15:24:38,,2021-01-03 15:24:38,,8850.0,2021-02-03 15:24:38,10.0,FLAGGED,290.0,5ff1e194b6a9d73a3a9f1052
19,12,5ff1e1b60a7214ada100055c,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:38,2021-01-03 15:24:38,,2021-01-03 15:24:38,,8850.0,2021-02-03 15:24:38,10.0,FLAGGED,290.0,5ff1e194b6a9d73a3a9f1052
20,12,5ff1e1b60a7214ada100055c,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:38,2021-01-03 15:24:38,,2021-01-03 15:24:38,,8850.0,2021-02-03 15:24:38,10.0,FLAGGED,290.0,5ff1e194b6a9d73a3a9f1052
21,12,5ff1e1b60a7214ada100055c,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:38,2021-01-03 15:24:38,,2021-01-03 15:24:38,,8850.0,2021-02-03 15:24:38,10.0,FLAGGED,290.0,5ff1e194b6a9d73a3a9f1052
22,12,5ff1e1b60a7214ada100055c,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:38,2021-01-03 15:24:38,,2021-01-03 15:24:38,,8850.0,2021-02-03 15:24:38,10.0,FLAGGED,290.0,5ff1e194b6a9d73a3a9f1052
23,12,5ff1e1b60a7214ada100055c,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:38,2021-01-03 15:24:38,,2021-01-03 15:24:38,,8850.0,2021-02-03 15:24:38,10.0,FLAGGED,290.0,5ff1e194b6a9d73a3a9f1052
24,13,5f9c74f70a7214ad07000037,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2020-10-30 20:17:59,2020-10-30 20:17:59,,2021-01-03 15:24:54,2020-10-30 20:18:00,750.0,2020-10-29 20:17:59,11.0,REJECTED,1.0,5f9c74f7c88c1415cbddb839
25,13,5f9c74f70a7214ad07000037,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2020-10-30 20:17:59,2020-10-30 20:17:59,,2021-01-03 15:24:54,2020-10-30 20:18:00,750.0,2020-10-29 20:17:59,11.0,REJECTED,1.0,5f9c74f7c88c1415cbddb839
26,13,5f9c74f70a7214ad07000037,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2020-10-30 20:17:59,2020-10-30 20:17:59,,2021-01-03 15:24:54,2020-10-30 20:18:00,750.0,2020-10-29 20:17:59,11.0,REJECTED,1.0,5f9c74f7c88c1415cbddb839
27,13,5f9c74f70a7214ad07000037,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2020-10-30 20:17:59,2020-10-30 20:17:59,,2021-01-03 15:24:54,2020-10-30 20:18:00,750.0,2020-10-29 20:17:59,11.0,REJECTED,1.0,5f9c74f7c88c1415cbddb839
28,13,5f9c74f70a7214ad07000037,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2020-10-30 20:17:59,2020-10-30 20:17:59,,2021-01-03 15:24:54,2020-10-30 20:18:00,750.0,2020-10-29 20:17:59,11.0,REJECTED,1.0,5f9c74f7c88c1415cbddb839
29,13,5f9c74f70a7214ad07000037,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2020-10-30 20:17:59,2020-10-30 20:17:59,,2021-01-03 15:24:54,2020-10-30 20:18:00,750.0,2020-10-29 20:17:59,11.0,REJECTED,1.0,5f9c74f7c88c1415cbddb839
30,13,5f9c74f70a7214ad07000037,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2020-10-30 20:17:59,2020-10-30 20:17:59,,2021-01-03 15:24:54,2020-10-30 20:18:00,750.0,2020-10-29 20:17:59,11.0,REJECTED,1.0,5f9c74f7c88c1415cbddb839
31,13,5f9c74f70a7214ad07000037,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2020-10-30 20:17:59,2020-10-30 20:17:59,,2021-01-03 15:24:54,2020-10-30 20:18:00,750.0,2020-10-29 20:17:59,11.0,REJECTED,1.0,5f9c74f7c88c1415cbddb839
32,13,5f9c74f70a7214ad07000037,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2020-10-30 20:17:59,2020-10-30 20:17:59,,2021-01-03 15:24:54,2020-10-30 20:18:00,750.0,2020-10-29 20:17:59,11.0,REJECTED,1.0,5f9c74f7c88c1415cbddb839
33,13,5f9c74f70a7214ad07000037,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2020-10-30 20:17:59,2020-10-30 20:17:59,,2021-01-03 15:24:54,2020-10-30 20:18:00,750.0,2020-10-29 20:17:59,11.0,REJECTED,1.0,5f9c74f7c88c1415cbddb839
34,13,5f9c74f70a7214ad07000037,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2020-10-30 20:17:59,2020-10-30 20:17:59,,2021-01-03 15:24:54,2020-10-30 20:18:00,750.0,2020-10-29 20:17:59,11.0,REJECTED,1.0,5f9c74f7c88c1415cbddb839
35,14,5ff1e1b20a7214ada100055a,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:34,2021-01-03 15:24:34,2021-01-03 15:24:35,2021-01-03 15:24:35,2021-01-03 15:24:35,300.0,2021-02-03 15:24:35,1.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052
36,15,5ff1e1e90a7214ada1000569,,,2021-01-03 15:25:29,2021-01-03 15:25:29,,2021-01-03 15:25:29,,,,0.0,FLAGGED,0.0,5ff1e1e9b6a9d73a3a9f10f6
37,15,5ff1e1e90a7214ada1000569,,,2021-01-03 15:25:29,2021-01-03 15:25:29,,2021-01-03 15:25:29,,,,0.0,FLAGGED,0.0,5ff1e1e9b6a9d73a3a9f10f6
38,16,5ff1e1df0a7214ada1000564,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:25:19,2021-01-03 15:25:19,2021-01-03 15:25:20,2021-01-03 15:25:25,2021-01-03 15:25:19,750.0,2021-01-02 15:25:19,2.0,FINISHED,11.0,5ff1e1dfcfcf6c399c274ab3
39,16,5ff1e1df0a7214ada1000564,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:25:19,2021-01-03 15:25:19,2021-01-03 15:25:20,2021-01-03 15:25:25,2021-01-03 15:25:19,750.0,2021-01-02 15:25:19,2.0,FINISHED,11.0,5ff1e1dfcfcf6c399c274ab3
40,17,5ff1e1b40a7214ada100055b,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:36,2021-01-03 15:24:36,,2021-01-03 15:24:37,2021-01-03 15:24:36,750.0,2021-01-02 15:24:36,1.0,FLAGGED,1.0,5ff1e1b4cfcf6c399c274a54
41,17,5ff1e1b40a7214ada100055b,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:36,2021-01-03 15:24:36,,2021-01-03 15:24:37,2021-01-03 15:24:36,750.0,2021-01-02 15:24:36,1.0,FLAGGED,1.0,5ff1e1b4cfcf6c399c274a54
42,17,5ff1e1b40a7214ada100055b,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:36,2021-01-03 15:24:36,,2021-01-03 15:24:37,2021-01-03 15:24:36,750.0,2021-01-02 15:24:36,1.0,FLAGGED,1.0,5ff1e1b4cfcf6c399c274a54
43,17,5ff1e1b40a7214ada100055b,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:36,2021-01-03 15:24:36,,2021-01-03 15:24:37,2021-01-03 15:24:36,750.0,2021-01-02 15:24:36,1.0,FLAGGED,1.0,5ff1e1b4cfcf6c399c274a54
44,17,5ff1e1b40a7214ada100055b,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:36,2021-01-03 15:24:36,,2021-01-03 15:24:37,2021-01-03 15:24:36,750.0,2021-01-02 15:24:36,1.0,FLAGGED,1.0,5ff1e1b4cfcf6c399c274a54
45,17,5ff1e1b40a7214ada100055b,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:36,2021-01-03 15:24:36,,2021-01-03 15:24:37,2021-01-03 15:24:36,750.0,2021-01-02 15:24:36,1.0,FLAGGED,1.0,5ff1e1b4cfcf6c399c274a54
46,17,5ff1e1b40a7214ada100055b,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:36,2021-01-03 15:24:36,,2021-01-03 15:24:37,2021-01-03 15:24:36,750.0,2021-01-02 15:24:36,1.0,FLAGGED,1.0,5ff1e1b4cfcf6c399c274a54
47,17,5ff1e1b40a7214ada100055b,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:36,2021-01-03 15:24:36,,2021-01-03 15:24:37,2021-01-03 15:24:36,750.0,2021-01-02 15:24:36,1.0,FLAGGED,1.0,5ff1e1b4cfcf6c399c274a54
48,17,5ff1e1b40a7214ada100055b,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:36,2021-01-03 15:24:36,,2021-01-03 15:24:37,2021-01-03 15:24:36,750.0,2021-01-02 15:24:36,1.0,FLAGGED,1.0,5ff1e1b4cfcf6c399c274a54
49,17,5ff1e1b40a7214ada100055b,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:36,2021-01-03 15:24:36,,2021-01-03 15:24:37,2021-01-03 15:24:36,750.0,2021-01-02 15:24:36,1.0,FLAGGED,1.0,5ff1e1b4cfcf6c399c274a54
50,17,5ff1e1b40a7214ada100055b,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:36,2021-01-03 15:24:36,,2021-01-03 15:24:37,2021-01-03 15:24:36,750.0,2021-01-02 15:24:36,1.0,FLAGGED,1.0,5ff1e1b4cfcf6c399c274a54
51,18,5ff1e1eb0a720f0523000576,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:25:31,2021-01-03 15:25:31,2021-01-03 15:25:32,2021-01-03 15:25:36,2021-01-03 15:25:32,300.0,2021-01-03 00:00:00,2.0,FINISHED,26.0,5ff1e1eacfcf6c399c274ae6
52,19,5ff1e1c80a720f052300056d,5.0,All-receipts receipt bonus,2021-01-03 15:24:56,2021-01-03 15:24:56,2021-01-03 15:25:02,2021-01-03 15:25:02,2021-01-03 15:24:56,5.0,2021-01-02 15:24:56,2.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052
53,19,5ff1e1c80a720f052300056d,5.0,All-receipts receipt bonus,2021-01-03 15:24:56,2021-01-03 15:24:56,2021-01-03 15:25:02,2021-01-03 15:25:02,2021-01-03 15:24:56,5.0,2021-01-02 15:24:56,2.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052
54,20,5f9c74f90a7214ad07000038,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2020-10-30 20:18:01,2020-10-30 20:18:01,2021-01-03 15:39:55,2021-01-03 15:39:55,2021-01-03 15:39:55,389.2,2020-10-29 20:18:01,6.0,FINISHED,14.0,5f9c74e3f1937815bd2c1d73
55,20,5f9c74f90a7214ad07000038,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2020-10-30 20:18:01,2020-10-30 20:18:01,2021-01-03 15:39:55,2021-01-03 15:39:55,2021-01-03 15:39:55,389.2,2020-10-29 20:18:01,6.0,FINISHED,14.0,5f9c74e3f1937815bd2c1d73
56,20,5f9c74f90a7214ad07000038,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2020-10-30 20:18:01,2020-10-30 20:18:01,2021-01-03 15:39:55,2021-01-03 15:39:55,2021-01-03 15:39:55,389.2,2020-10-29 20:18:01,6.0,FINISHED,14.0,5f9c74e3f1937815bd2c1d73
57,20,5f9c74f90a7214ad07000038,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2020-10-30 20:18:01,2020-10-30 20:18:01,2021-01-03 15:39:55,2021-01-03 15:39:55,2021-01-03 15:39:55,389.2,2020-10-29 20:18:01,6.0,FINISHED,14.0,5f9c74e3f1937815bd2c1d73
58,20,5f9c74f90a7214ad07000038,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2020-10-30 20:18:01,2020-10-30 20:18:01,2021-01-03 15:39:55,2021-01-03 15:39:55,2021-01-03 15:39:55,389.2,2020-10-29 20:18:01,6.0,FINISHED,14.0,5f9c74e3f1937815bd2c1d73
59,21,5ff1e1960a720f0523000567,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:06,2021-01-03 15:24:06,2021-01-03 15:24:10,2021-01-03 15:24:10,2021-01-03 15:24:10,750.0,2021-01-02 15:24:06,1.0,FINISHED,1.0,5ff1e196cfcf6c399c274a38
60,22,5ff1e1ec0a7214ada100056c,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:25:32,2021-01-03 15:25:32,2021-01-03 15:25:32,2021-01-03 15:25:37,2021-01-03 15:25:32,150.0,2021-01-03 00:00:00,2.0,FINISHED,21.0,5ff1e1eacfcf6c399c274ae6
61,23,5ff1e1d70a720f0523000571,40.0,COMPLETE_PARTNER_RECEIPT,2021-01-03 15:25:11,2021-01-03 15:25:11,2021-01-03 15:25:12,2021-01-03 15:25:12,2021-01-03 15:25:12,185.0,2021-01-02 15:25:11,2.0,FINISHED,2.0,5ff1e194b6a9d73a3a9f1052
62,23,5ff1e1d70a720f0523000571,40.0,COMPLETE_PARTNER_RECEIPT,2021-01-03 15:25:11,2021-01-03 15:25:11,2021-01-03 15:25:12,2021-01-03 15:25:12,2021-01-03 15:25:12,185.0,2021-01-02 15:25:11,2.0,FINISHED,2.0,5ff1e194b6a9d73a3a9f1052
63,24,5ff1e1c60a7214ada100055e,5.0,All-receipts receipt bonus,2021-01-03 15:24:54,2021-01-03 15:24:54,2021-01-03 15:24:59,2021-01-03 15:24:59,2021-01-03 15:24:54,5.0,2021-01-02 15:24:54,2.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052
64,24,5ff1e1c60a7214ada100055e,5.0,All-receipts receipt bonus,2021-01-03 15:24:54,2021-01-03 15:24:54,2021-01-03 15:24:59,2021-01-03 15:24:59,2021-01-03 15:24:54,5.0,2021-01-02 15:24:54,2.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052
65,25,5ff1e1ee0a7214ada1000570,5.0,All-receipts receipt bonus,2021-01-03 15:25:34,2021-01-03 15:25:34,2021-01-03 15:25:35,2021-01-03 15:25:40,2021-01-03 15:25:35,5.0,2021-01-03 00:00:00,5.0,FINISHED,27.0,5ff1e1eacfcf6c399c274ae6
66,26,5ff1e1cf0a720f0523000570,5.0,All-receipts receipt bonus,2021-01-03 15:25:03,2021-01-03 15:25:03,2021-01-03 15:25:09,2021-01-03 15:25:09,2021-01-03 15:25:03,5.0,2021-01-02 15:25:03,2.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052
67,26,5ff1e1cf0a720f0523000570,5.0,All-receipts receipt bonus,2021-01-03 15:25:03,2021-01-03 15:25:03,2021-01-03 15:25:09,2021-01-03 15:25:09,2021-01-03 15:25:03,5.0,2021-01-02 15:25:03,2.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052
68,27,5ff1e1e10a720f0523000572,25.0,COMPLETE_NONPARTNER_RECEIPT,2021-01-03 15:25:21,2021-01-03 15:25:21,2021-01-03 15:25:21,2021-01-03 15:25:26,2021-01-03 15:25:21,35.0,2021-01-02 15:25:21,1.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052
69,28,5ff1e1d40a7214ada1000562,,,2021-01-03 15:25:08,2021-01-03 15:25:08,,2021-01-03 15:25:08,,,2017-10-30 00:00:00,3.0,REJECTED,3.0,5ff1e194b6a9d73a3a9f1052
70,28,5ff1e1d40a7214ada1000562,,,2021-01-03 15:25:08,2021-01-03 15:25:08,,2021-01-03 15:25:08,,,2017-10-30 00:00:00,3.0,REJECTED,3.0,5ff1e194b6a9d73a3a9f1052
71,29,5ff1e1ee0a720f0523000578,5.0,All-receipts receipt bonus,2021-01-03 15:25:34,2021-01-03 15:25:34,2021-01-03 15:25:34,2021-01-03 15:25:39,2021-01-03 15:25:34,5.0,2021-01-03 00:00:00,4.0,FINISHED,27.0,5ff1e1eacfcf6c399c274ae6
72,30,5ff371030a7214ada10005a5,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04 19:48:19,2021-01-04 19:48:19,2021-01-04 19:48:20,2021-01-04 19:48:20,2021-01-04 19:48:20,650.0,2020-12-20 00:00:00,10.0,FINISHED,10.0,5ff370c562fde912123a5e0e
73,30,5ff371030a7214ada10005a5,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04 19:48:19,2021-01-04 19:48:19,2021-01-04 19:48:20,2021-01-04 19:48:20,2021-01-04 19:48:20,650.0,2020-12-20 00:00:00,10.0,FINISHED,10.0,5ff370c562fde912123a5e0e
74,30,5ff371030a7214ada10005a5,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04 19:48:19,2021-01-04 19:48:19,2021-01-04 19:48:20,2021-01-04 19:48:20,2021-01-04 19:48:20,650.0,2020-12-20 00:00:00,10.0,FINISHED,10.0,5ff370c562fde912123a5e0e
75,30,5ff371030a7214ada10005a5,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04 19:48:19,2021-01-04 19:48:19,2021-01-04 19:48:20,2021-01-04 19:48:20,2021-01-04 19:48:20,650.0,2020-12-20 00:00:00,10.0,FINISHED,10.0,5ff370c562fde912123a5e0e
76,30,5ff371030a7214ada10005a5,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04 19:48:19,2021-01-04 19:48:19,2021-01-04 19:48:20,2021-01-04 19:48:20,2021-01-04 19:48:20,650.0,2020-12-20 00:00:00,10.0,FINISHED,10.0,5ff370c562fde912123a5e0e
77,30,5ff371030a7214ada10005a5,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04 19:48:19,2021-01-04 19:48:19,2021-01-04 19:48:20,2021-01-04 19:48:20,2021-01-04 19:48:20,650.0,2020-12-20 00:00:00,10.0,FINISHED,10.0,5ff370c562fde912123a5e0e
78,30,5ff371030a7214ada10005a5,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04 19:48:19,2021-01-04 19:48:19,2021-01-04 19:48:20,2021-01-04 19:48:20,2021-01-04 19:48:20,650.0,2020-12-20 00:00:00,10.0,FINISHED,10.0,5ff370c562fde912123a5e0e
79,30,5ff371030a7214ada10005a5,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04 19:48:19,2021-01-04 19:48:19,2021-01-04 19:48:20,2021-01-04 19:48:20,2021-01-04 19:48:20,650.0,2020-12-20 00:00:00,10.0,FINISHED,10.0,5ff370c562fde912123a5e0e
80,30,5ff371030a7214ada10005a5,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04 19:48:19,2021-01-04 19:48:19,2021-01-04 19:48:20,2021-01-04 19:48:20,2021-01-04 19:48:20,650.0,2020-12-20 00:00:00,10.0,FINISHED,10.0,5ff370c562fde912123a5e0e
